Section,Beam Mark,Width_mm,Depth_mm,Prov_BotBar_No,Prov_BotBar_Dia_mm,Prov_BotBar_Area_mm2,Positive_Moment_kNm,Min_BotBar_mm2,Min_BotBar_Area-crk_mm2,Req_BotBar_Area_cl6.1_mm2,Req_BotBar_Area_mm2,BotBar_utilisation,BotBar _Design_Status,BotBar_Spacing,Prov_TopBar_No,Prov_TopBar_Dia_mm,Prov_TopBar_Area_mm2,Negative_Moment_kNm,Min_TopBar_mm2,Min_TopBar_Area-crk_mm2,Req_TopBar_Area_cl6.1_mm2,Req_TopBar_Area_Req_mm2,TopBar_utilisation,TopBar_Design_Status,TopBar_Spacing_mm,ShearForce_kN,ShearBar_leg_nos,ShearBar_Dia_mm,ShearBar_Spacing_mm,ShearBar_Prov_Asv_mm2perm,Ved_Prov_kN,Ved_Req_kN,Ved_utilisation,Shear_Design_Status,Source_File
5,2B87-S2-M,125,600,2,16,402,71,94,104,283,283,0.7039801,PASS,PASS,2,16,402,34,94,104,134,134,0.333333333,PASS,PASS,2,2,6,175,323.1352444,91,37,0.406593407,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
6,2B87-S2-R,125,600,2,16,402,45,94,104,177,177,0.440298507,PASS,PASS,2,20,628,90,93,103,368,368,0.585987261,PASS,FAIL,2,2,6,175,323.1352444,91,49,0.538461538,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
7,2B87-S3-L,125,600,2,12,226,26,94,106,106,106,0.469026549,PASS,PASS,2,20,628,90,93,103,368,368,0.585987261,PASS,FAIL,2,2,6,175,323.1352444,91,46,0.505494505,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
8,2B87-S3-M,125,600,2,12,226,72,94,106,286,286,1.265486726,FAIL,PASS,2,16,402,24,94,104,95,104,0.258706468,PASS,PASS,2,2,6,175,323.1352444,91,44,0.483516484,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
9,2B87-S3-R,125,600,2,12,226,47,94,104,185,185,0.818584071,PASS,PASS,2,20,628,74,94,104,296,296,0.47133758,PASS,PASS,2,2,6,175,323.1352444,91,53,0.582417582,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
10,2B87-S4-L,125,600,2,12,226,68,94,104,185,185,0.818584071,PASS,PASS,2,20,628,136,93,103,586,586,0.933121019,PASS,FAIL,2,2,6,175,323.1352444,91,42,0.461538462,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
11,2B87-S4-M,125,600,2,12,226,71,94,104,286,286,1.265486726,FAIL,PASS,2,16,402,34,94,104,134,104,0.258706468,PASS,PASS,2,2,6,175,323.1352444,91,38,0.417582418,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
12,2B87-S4-R,125,600,2,12,226,69,94,104,173,173,0.765486726,PASS,PASS,2,20,628,137,93,103,591,591,0.941082803,PASS,FAIL,2,2,6,175,323.1352444,91,50,0.549450549,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
13,2B87-S5-L,125,600,2,12,226,26,94,106,130,130,0.575221239,PASS,PASS,2,20,628,90,93,103,368,368,0.585987261,PASS,FAIL,2,2,6,175,323.1352444,91,35,0.384615385,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
14,2B87-S5-M,125,600,2,12,226,72,94,106,269,269,1.190265487,FAIL,PASS,2,16,402,24,94,104,95,130,0.323383085,PASS,PASS,2,2,6,175,323.1352444,91,47,0.516483516,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
15,2B87-S5-R,125,600,2,12,226,47,94,104,261,261,1.154867257,FAIL,PASS,2,20,628,74,94,104,296,296,0.47133758,PASS,PASS,2,2,6,100,565.4866776,159,64,0.402515723,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
16,2B87-S6-L,125,600,2,16,402,20,94,104,262,262,0.651741294,PASS,PASS,2,20,628,74,94,104,296,296,0.47133758,PASS,PASS,2,2,6,100,565.4866776,159,67,0.421383648,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
17,2B87-S6-M,125,600,2,16,402,53,94,104,322,322,0.800995025,PASS,PASS,2,12,226,19,94,106,75,106,0.469026549,PASS,PASS,2,2,6,100,565.4866776,159,32,0.201257862,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
18,2B87-S6-R,125,600,2,16,402,37,94,104,104,104,0.258706468,PASS,PASS,2,12,226,75,93,103,302,106,0.469026549,PASS,FAIL,2,2,6,100,565.4866776,159,55,0.34591195,PASS,2B87_Beam_Audit_Table R2 No Fill.csv
1,2B71-S1-L,150,600,2 layer x 2no,2T25 + 2T20,1610,146,108,123,650,650,0.403726708,PASS,PASS,3 layer x 2no,2T25 + 2T25 + 2T20,2906,292,103,119,1522,1522,0.523743978,PASS,PASS,2,2,6,100,565.4866776,159,157,0.987421384,PASS,2B88_Beam_Audit_Table R2 No Fill.csv
1,2B88-S1-L,150,600,1 layer x 2no,2T25,982,177,139,158,739,739,0.752545825,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,100,565.4866776,159,130,0.817610063,PASS,2B88_Beam_Audit_Table R2 No Fill.csv
2,2B88-S1-M,150,600,2 layer x 2no,2T25 + 2T16,1384,293,136,156,1391,1391,1.005057803,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,175,323.1352444,91,112,1.230769231,FAIL,2B88_Beam_Audit_Table R2 No Fill.csv
3,2B88-S1-R,150,600,1 layer x 2no,2T25,982,158,139,158,652,652,0.66395112,PASS,PASS,1 layer x 2no,2T25,982,10,139,158,40,158,0.16089613,PASS,PASS,2,2,6,100,565.4866776,159,109,0.685534591,PASS,2B88_Beam_Audit_Table R2 No Fill.csv
